,location,total_sqft,bath,price,bhk
0,7th Phase JP Nagar,1080.0,2,72.0,2
1,7th Phase JP Nagar,1270.0,2,93.0,2
2,7th Phase JP Nagar,1420.0,2,100.0,3
3,7th Phase JP Nagar,1850.0,3,150.0,3
4,7th Phase JP Nagar,1245.0,2,94.0,2
5,7th Phase JP Nagar,1175.0,2,82.0,2
6,7th Phase JP Nagar,1400.0,2,95.0,3
7,7th Phase JP Nagar,2225.0,3,160.0,3
8,7th Phase JP Nagar,1050.0,2,71.0,2
9,7th Phase JP Nagar,1100.0,2,46.0,2
10,7th Phase JP Nagar,918.0,2,50.49,2
11,7th Phase JP Nagar,1450.0,2,100.0,3
12,7th Phase JP Nagar,1190.0,2,49.98,2
13,7th Phase JP Nagar,1420.0,2,96.0,3
14,7th Phase JP Nagar,1680.0,3,120.0,3
15,7th Phase JP Nagar,980.0,2,69.0,2
16,7th Phase JP Nagar,1180.0,2,72.0,2
17,7th Phase JP Nagar,1050.0,2,57.0,3
18,7th Phase JP Nagar,1343.0,2,56.41,3
19,7th Phase JP Nagar,1405.0,2,59.01,3
20,7th Phase JP Nagar,1400.0,3,115.0,3
21,7th Phase JP Nagar,1270.0,2,83.0,2
22,7th Phase JP Nagar,3300.0,4,150.0,4
23,7th Phase JP Nagar,2503.0,4,188.0,4
24,7th Phase JP Nagar,2200.0,3,190.0,3
25,7th Phase JP Nagar,1250.0,3,65.0,3
26,7th Phase JP Nagar,1385.0,2,58.17,3
27,7th Phase JP Nagar,1575.0,2,110.0,3
28,7th Phase JP Nagar,1850.0,3,140.0,3
29,7th Phase JP Nagar,1575.0,2,120.0,3
30,7th Phase JP Nagar,1850.0,3,150.0,3
31,7th Phase JP Nagar,1680.0,3,120.0,3
32,7th Phase JP Nagar,1175.0,2,82.5,2
33,7th Phase JP Nagar,3300.0,4,160.0,3
34,7th Phase JP Nagar,2200.0,4,105.0,3
35,7th Phase JP Nagar,1215.0,2,90.0,2
36,7th Phase JP Nagar,1050.0,2,75.0,2
37,7th Phase JP Nagar,1300.0,3,89.13,3
38,7th Phase JP Nagar,1130.0,2,73.0,2
39,7th Phase JP Nagar,1450.0,3,100.0,3
40,7th Phase JP Nagar,1350.0,3,58.0,3
41,7th Phase JP Nagar,1050.0,2,50.0,2
42,7th Phase JP Nagar,1275.0,2,87.0,2
43,7th Phase JP Nagar,1460.0,3,70.0,3
44,7th Phase JP Nagar,1650.0,3,110.0,3
45,7th Phase JP Nagar,850.0,2,42.0,2
46,7th Phase JP Nagar,1680.0,3,117.0,3
47,7th Phase JP Nagar,1850.0,3,150.0,3
48,7th Phase JP Nagar,1236.0,2,61.33,2
49,7th Phase JP Nagar,1000.0,2,53.0,2
50,7th Phase JP Nagar,1680.0,3,125.0,3
51,7th Phase JP Nagar,1675.0,2,135.0,3
52,7th Phase JP Nagar,1187.0,2,59.0,2
53,7th Phase JP Nagar,1850.0,3,155.0,3
54,7th Phase JP Nagar,1000.0,2,61.0,2
55,7th Phase JP Nagar,1460.0,2,100.0,3
56,7th Phase JP Nagar,1650.0,3,110.0,3
57,7th Phase JP Nagar,1200.0,2,62.5,2
58,7th Phase JP Nagar,1000.0,2,70.65,2
59,7th Phase JP Nagar,1080.0,2,75.0,2
60,7th Phase JP Nagar,1415.0,3,65.0,3
61,7th Phase JP Nagar,1680.0,3,125.0,3
62,7th Phase JP Nagar,1460.0,2,97.0,3
63,7th Phase JP Nagar,1120.0,2,65.0,2
64,7th Phase JP Nagar,1100.0,3,60.0,2
65,7th Phase JP Nagar,1790.0,3,120.0,3
66,7th Phase JP Nagar,1680.0,3,117.0,3
67,7th Phase JP Nagar,1050.0,2,77.0,2
68,7th Phase JP Nagar,1050.0,2,75.0,2
