mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestregressor__max_depth,param_randomforestregressor__max_samples,param_randomforestregressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.1094458103179932,0.12433269864569325,0.04565676053365072,0.007347797384373941,3,0.9,100,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 100}",,,,,,1
2.1230077743530273,0.22412277291704355,0.07216231028238933,0.0016954600491929234,3,0.9,200,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 200}",,,,,,1
3.854021151860555,0.3983636263287084,0.1447157065073649,0.01327598286467763,3,0.9,300,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 300}",,,,,,1
6.417688608169556,0.13724703439827696,0.19878236452738443,0.01959653072481634,3,0.9,400,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 400}",,,,,,1
8.71112052599589,0.21713616620920703,0.23090012868245444,0.008632974027730536,3,0.9,500,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 500}",,,,,,1
1.5771530469258626,0.0932425039796776,0.07125329971313477,0.005179556338134725,3,0.7,100,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 100}",,,,,,1
3.1921788851420083,0.13793675677615713,0.11341714859008789,0.013309340804792215,3,0.7,200,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 200}",,,,,,1
4.777728239695231,0.16911304287766568,0.15879281361897787,0.014086808166223755,3,0.7,300,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 300}",,,,,,1
6.3580929438273115,0.22845778449598997,0.23662201563517252,0.06631960671773479,3,0.7,400,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 400}",,,,,,1
8.08794911702474,0.17912189965842848,0.23849248886108398,0.01068623172417215,3,0.7,500,"{'randomforestregressor__max_depth': 3, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 500}",,,,,,1
2.1998748779296875,0.13319228127736052,0.0507821242014567,0.020708281680812336,4,0.9,100,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 100}",,,,,,1
4.408670584360759,0.08377994543713697,0.11899288495381673,0.007417256079432684,4,0.9,200,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 200}",,,,,,1
6.463468472162883,0.07819012607867987,0.1762708822886149,0.01483203277544059,4,0.9,300,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 300}",,,,,,1
8.548053979873657,0.1669693092683299,0.2062671979268392,0.009150141175967127,4,0.9,400,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 400}",,,,,,1
10.710004965464273,0.35799824329309954,0.2787190278371175,0.032125709873838,4,0.9,500,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.9, 'randomforestregressor__n_estimators': 500}",,,,,,1
2.0143898328145347,0.08663997274324013,0.07243673006693523,0.011269517595797572,4,0.7,100,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 100}",,,,,,1
3.8094680309295654,0.1525302409691125,0.11696124076843262,0.006035538658017374,4,0.7,200,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 200}",,,,,,1
5.302573760350545,0.030884150438903496,0.1485285758972168,0.004610168884943965,4,0.7,300,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 300}",,,,,,1
7.257947683334351,0.057503758121172366,0.18962542215983072,0.0009043117983553787,4,0.7,400,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 400}",,,,,,1
7.960571686426799,0.3876542257718508,0.20288872718811035,0.01773185649969901,4,0.7,500,"{'randomforestregressor__max_depth': 4, 'randomforestregressor__max_samples': 0.7, 'randomforestregressor__n_estimators': 500}",,,,,,1
